Day,Post Theme,Hook / Opening Line Idea,Key Points to Include,Suggested Visual,Source (for details/quotes),Status,Post Date,Notes
1,"Kickoff: why I'm building this in public","I'm building a full wedding-planning SaaS for the Ghanaian market with an AI assistant baked in — and I'm posting every day of it. Here's the plan.","What AkomaPlanner is (wedding planner + BisaAI assistant, Ghana market); why you chose this project; that you're using Claude Code and doing 80% AI-assisted / 20% hands-on polish yourself; what people can expect from the series (real decisions, real bugs, not just a highlight reel)","Screenshot of the landing page","README.md intro",Not started,,"Set expectations that this is an honest build log, not a polished announcement"
2,"The architecture decision nobody sees","Before writing a single UI component, I had to answer: where does business logic live, and why does that matter?","Full-stack Next.js vs separate backend vs tRPC — why a split backend was overkill here; the specific seam that makes 'swap SQLite for Postgres' or 'swap mock AI for real AI' a config change instead of a rewrite","Simple diagram: Browser -> Server Component/Action -> lib/ -> Prisma -> DB",LEARNING.md #1-#2,Not started,,"Good 'here's how I think about architecture' post for recruiters/engineers"
3,"The money question every app gets wrong","Should you store money as a decimal or as an integer? I made a deliberate tradeoff here — and I know exactly when I'd be wrong to make it.","Float vs integer minor units (pesewas) for storing GHS; why Float was fine here (planning estimates, not a payments ledger) vs when it becomes non-negotiable (real transactions)","Code snippet of the schema comment explaining the tradeoff",LEARNING.md #4,Not started,,"Classic interview-question topic — good engagement bait for devs"
4,"I made the AI assistant structurally incapable of overpromising","BisaAI can draft a message to a vendor. It can never send one. Here's how I made that a guarantee, not a promise.","The DRAFT -> SENT -> QUOTED -> ACCEPTED state machine; why lib/bisaai.ts can only write to an audit-log table and nothing else; 'the safety property is enforced by which code is allowed to call which function, not just what the UI shows'","Diagram of the state machine with arrows",LEARNING.md #7 and #12,Not started,,"This is your strongest 'AI safety in practice' post — lead candidate for most shares"
5,"A bug that only showed up once I actually tested it","My checklist feature passed every check... until I added a task without a due date and it jumped to the top of the list, ahead of things that were overdue.","SQL sorts NULL first by default in ascending order; how seeded 'always has data' demos hide this exact class of bug; the one-line Prisma fix (nulls: 'last')","Before/after screenshot of the checklist ordering",LEARNING.md #16,Not started,,
6,"Testing floating point math taught me something about my own code","A test that should have trivially passed instead told me 55 does not equal 55.","5500/10000*100 = 55.00000000000001 in JavaScript; why toBeCloseTo() exists; tying it back to the earlier float-vs-integer money decision",Code snippet of the failing assertion,LEARNING.md #11,Not started,,
7,"The most dangerous bug in this whole project (and dev mode hid it completely)","Every page passed every test. Then I ran the actual production build for the first time — and found out my dashboard would have frozen in time for every user, forever.","Static vs dynamic rendering in Next.js; why `next dev` never reveals this; what 'the page is prerendered once at build time' actually means for a live app; the one-line fix","Screenshot of the next build route table (○ Static vs f Dynamic)",LEARNING.md #28,Not started,,"Your single best 'lessons for other devs' post — very shareable, genuinely useful"
8,"I built a paywall and then refused to finish it as written","The spec told me exactly what to put on the pricing page. I left two features off it anyway.","'Full cloud backup/restore' and 'unlimited AI image generation' weren't real features in the app; why listing them on a paywall would be dishonest; the principle of not overstating capabilities, especially on the page tied to payment","Screenshot of the final pricing page feature list",LEARNING.md #27,Not started,,"Good values/integrity post — shows judgment, not just execution"
9,"Consent isn't a checkbox, it's an architecture decision","The dress try-on feature never even has the ability to receive your photo on the server. Here's why that's a stronger guarantee than a privacy policy.","URL.createObjectURL for in-browser-only photo preview; the server action literally has no photo parameter; UI-level disabled button vs the real enforcement one layer down",Screenshot of the consent flow,LEARNING.md #25,Not started,,
10,"Why I made my 'AI' honest about not being AI","Every mock response in this app is labelled as a mock. That was harder to stick to than it sounds.","The MockBadge / EstimateBadge pattern; why some 'mocks' are actually just honest rule-based logic (timeline generator, seating suggestions) vs true placeholders (chat Q&A); the discipline of asking 'is this really a stand-in, or is it just done?'","Screenshot of a BisaAI tool card showing the Mock badge",LEARNING.md #12 and #24,Not started,,
11,"The config file that was quietly broken since day one","My linter had been silently doing nothing for the entire build. I only found out when I finally ran it on purpose.","ESLint 9's flat-config migration; how eslint.config.js never got created during scaffolding; the 7 real (small) issues it found the moment it actually worked; 'a tool that silently no-ops is worse than one that's obviously missing'",Terminal screenshot of the lint output,LEARNING.md #29,Not started,,
12,"My .gitignore did nothing for the entire project","node_modules and .next were about to get committed to git. The file that was supposed to stop that had been broken the whole time.","UTF-16 vs UTF-8 encoded text files; how `git status` showing folders that 'should' be invisible is the tell; git check-ignore -v as the verification step",Terminal screenshot showing the fix,LEARNING.md #30,Not started,,"Pairs well as a 'boring bugs matter too' post"
13,"When 'it works on my machine' almost got me","Right after I called this MVP done, the whole site suddenly looked unstyled. The cause: two commands that should never run against the same folder at once.","next dev vs next build/start sharing the .next directory; why running a production build test while the dev server was still up corrupted the CSS pipeline; the fix and the actual lesson (separate distDir, or never run them concurrently)",Before/after screenshot of the broken vs fixed dashboard styling,LEARNING.md #31,Not started,,
14,"Proving an AI safety rule is real, not just documented","Anyone can write 'the AI can never book anything on its own' in a comment. I wanted to prove it.","Flipping a test wedding to Pro, running the full vendor negotiation lifecycle end to end through the real UI, then checking the raw database record instead of trusting the screen","Screenshot of the 'Booked' confirmation + the DB query result side by side",LEARNING.md #18,Not started,,"Strong technical proof-of-work post"
15,"A privacy decision nobody asked me to make","I built a public, no-login link anyone can share for their wedding. Then I deliberately made it show less than it technically could.","The share page has full database access but only renders names/date/countdown/aggregate stats — no budget, no guest list, no vendor quotes; 'the least private plausible reading of a sharing feature is usually the right default'",Screenshot of the public share page,LEARNING.md #23,Not started,,
16,"Where I drew the line on what to build vs what to say I built","The spec asked for accommodation recommendations 'by side' (bride's family vs groom's). I didn't build that. Here's why, and what I did instead.","Schema was designed as global reference data with no per-wedding relationship; adding a new table mid-build for one feature is scope creep worth flagging, not quietly doing; the honest workaround",N/A,LEARNING.md #22,Not started,,
17,"Milestone: the MVP is feature-complete","Every feature from my original plan is built, and — more importantly — every one of them has been clicked through in a real browser, not just typechecked.","Recap of the full feature list; the Playwright-driven verification habit throughout the build (screenshot every meaningful interaction, not just trust the code); what 'done' actually meant here",Full-page screenshot of the dashboard,README.md + LEARNING.md overview,Not started,,"Good weekly-recap-style post if you're batching"
18,"Handing off from AI to me: what 20% actually means","Claude Code got me to a real, working, tested MVP. Today I start the part only I can do.","Be honest about what 'AI did 80%' means in practice (schema design + implementation + testing, guided by your decisions at every step) vs what's left (product taste, real-world polish, your own judgment calls going forward)",Photo/screenshot of you starting your first manual change,N/A,Not started,,"Sets up the next phase of the series — good pivot post"
19,"Polish log: first change I made without asking an AI","[Fill in once you've made your first hands-on change — what did you touch, why, what did you learn doing it yourself?]",[To fill in based on actual work],[Screenshot of your change],Your own commit,Not started,,"Template row — duplicate this pattern for each polish session"
20,"Polish log: a design/UX call I made myself","[What did you change about how something looks or feels, and why did your judgment differ from what shipped?]",[To fill in],[Before/after screenshot],Your own commit,Not started,,"Template row"
21,"Polish log: a bug I found and fixed on my own","[What broke, how did you find it, how did you fix it?]",[To fill in],[Screenshot or short screen recording],Your own commit,Not started,,"Template row"
22,"What I'd tell someone starting their first AI-assisted build","Looking back at the whole log, here's what actually mattered.","Pull 3-5 real threads from the series (e.g. always run the production build, label your mocks honestly, test the fiddly math, verify in a real browser not just types); tie back to specific days in this series for credibility",Collage of a few earlier screenshots,Whole LEARNING.md,Not started,,"Strong 'save this post' style wrap-up — good for a Sunday/reflection slot"
